routerSerial,ri,action,movement,fall,battery,count,label,routerTime
B8-27-EB-22-6B-12,-79,14,40,0,0,225,Living,1595311152733
B8-27-EB-6A-B8-0B,-79,14,40,0,0,226,Living,1595311153007
B8-27-EB-22-6B-12,-81,4,72,0,0,227,Living,1595311153888
B8-27-EB-6A-B8-0B,-79,14,78,0,0,229,Living,1595311154906
B8-27-EB-22-6B-12,-86,4,87,0,0,230,Living,1595311154939
B8-27-EB-F2-6B-8A,-77,4,72,0,0,227,Living,1595311154900
B8-27-EB-F2-6B-8A,-79,14,109,0,0,231,Living,1595311155421
B8-27-EB-6A-B8-0B,-92,14,69,0,0,232,Living,1595311155851
B8-27-EB-F2-6B-8A,-78,14,50,0,0,234,Living,1595311156875
B8-27-EB-6A-B8-0B,-85,14,22,0,0,238,Living,1595311158773
B8-27-EB-F2-6B-8A,-85,4,21,0,0,239,Living,1595311159702
B8-27-EB-6A-B8-0B,-80,4,40,0,0,242,Living,1595311160683
B8-27-EB-F2-6B-8A,-93,14,32,0,0,241,Living,1595311160975
B8-27-EB-6A-B8-0B,-81,14,37,0,0,243,Living,1595311161164
B8-27-EB-6A-B8-0B,-90,14,37,0,0,243,Living,1595311161916
B8-27-EB-F2-6B-8A,-74,14,19,0,0,246,Living,1595311162627
B8-27-EB-6A-B8-0B,-96,14,19,0,0,246,Living,1595311163792
B8-27-EB-F2-6B-8A,-92,14,28,0,0,249,Living,1595311164026
B8-27-EB-F2-6B-8A,-60,4,46,0,0,251,Living,1595311165429
B8-27-EB-F2-6B-8A,-77,14,23,0,0,253,Living,1595311165994
